input,target_sid,target_title,pred1_sid,pred1_title,beam_size,exact_top1_hit,top3_hit,top5_hit,top10_hit,pred1_in_catalog,pred1_lcp,best_lcp_in_beam,target_collision_group_size,target_l1_fanout,target_l2_fanout
"Can you predict the next possible item the user may expect, given the following chronological interaction history: <a_112><b_122><c_30>, <a_112><b_122><c_79>, <a_112><b_122><c_11>, <a_112><b_122><c_4>, <a_112><b_65><c_32>, <a_112><b_65><c_103>, <a_112><b_122><c_5>, <a_112><b_122><c_75>, <a_211><b_147><c_178>, <a_112><b_35><c_107>",<a_112><b_122><c_202>,3D Solutech Real Orange 1.75mm ABS 3D Printer Filament 2.2 LBS (1.0KG),<a_211><b_147><c_178>,"SainSmart Clear Flexible TPU 3D Printing Filament, 1.75 mm, 0.8 kg, Dimensional Accuracy +/- 0.05 mm",50,0,0,0,0,1,0,2,1,97,25
"Can you predict the next possible item the user may expect, given the following chronological interaction history: <a_242><b_190><c_90>",<a_234><b_32><c_84>,"T-Rex 241309 Shurtech Ferociously Strong Tape, 12 Yd L X 1.88 in W, 1-Roll, 12 Yards, Gunmetal Gray",<a_154><b_37><c_0>,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",50,0,0,0,0,1,0,0,1,15,1
"Can you predict the next possible item the user may expect, given the following chronological interaction history: <a_242><b_190><c_90>, <a_234><b_32><c_84>",<a_135><b_236><c_55>,"Gorilla Heavy Duty Construction Adhesive, 2.5 ounce Squeeze Tube, White",<a_234><b_32><c_84>,"T-Rex 241309 Shurtech Ferociously Strong Tape, 12 Yd L X 1.88 in W, 1-Roll, 12 Yards, Gunmetal Gray",50,0,0,0,0,1,0,0,1,26,1
"Can you predict the next possible item the user may expect, given the following chronological interaction history: <a_242><b_190><c_90>, <a_234><b_32><c_84>, <a_135><b_236><c_55>",<a_41><b_177><c_0>,Genova Products 31410CP 1-Inch PVC Pipe Tee - 10 Pack,<a_154><b_37><c_0>,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",50,0,0,0,0,1,0,0,1,32,2
"Can you predict the next possible item the user may expect, given the following chronological interaction history: <a_142><b_220><c_51>, <a_96><b_57><c_240>, <a_223><b_44><c_71>, <a_59><b_214><c_21>, <a_105><b_5><c_225>, <a_195><b_147><c_9>, <a_225><b_40><c_107>, <a_53><b_250><c_246>, <a_87><b_189><c_3>, <a_51><b_162><c_73>",<a_254><b_70><c_85>,Stanley R120 Rivet Pack Assortment,<a_87><b_189><c_3>,"FastenMaster FMTLOK10-12 TimberLOK Heavy-Duty Wood Screw, 10 Inches, 12-Count",50,0,0,0,0,1,0,0,1,32,1
"Can you predict the next possible item the user may expect, given the following chronological interaction history: <a_136><b_147><c_205>, <a_136><b_147><c_205>, <a_106><b_155><c_175>, <a_246><b_81><c_178>, <a_59><b_65><c_95>, <a_87><b_172><c_16>, <a_59><b_81><c_50>, <a_59><b_60><c_0>, <a_59><b_124><c_112>, <a_25><b_208><c_208>",<a_88><b_138><c_183>,"Osborn International 75116SP Steel File Card, 3-3/4"" Brush Area Length",<a_59><b_60><c_61>,"Marathon 10"" Swivel Caster with Flat Free Tire",50,0,0,0,0,1,0,0,1,23,2
"Can you predict the next possible item the user may expect, given the following chronological interaction history: <a_140><b_52><c_204>, <a_196><b_52><c_4>, <a_87><b_180><c_0>, <a_61><b_214><c_239>, <a_61><b_253><c_241>, <a_87><b_180><c_156>, <a_1><b_38><c_52>",<a_198><b_16><c_136>,"iGaging ABSOLUTE ORIGIN 0-6"" Digital Electronic Caliper - IP54 Protection/Extreme Accuracy",<a_87><b_25><c_216>,"Kreg SML-C2 2-Inch Washer Head #8 Coarse Pocket Screws, 50 Count",50,0,0,0,0,1,0,0,1,19,2
"Can you predict the next possible item the user may expect, given the following chronological interaction history: <a_223><b_32><c_122>, <a_229><b_166><c_219>, <a_79><b_226><c_177>, <a_98><b_41><c_144>, <a_250><b_11><c_38>, <a_77><b_3><c_238>, <a_0><b_15><c_0>, <a_0><b_15><c_17>, <a_34><b_53><c_254>",<a_135><b_25><c_11>,J-B Weld 8265S Original Cold-Weld Steel Reinforced Epoxy - 2 oz.,<a_0><b_15><c_0>,"Round Spacer, Nylon, Off-White, 3/8"" Screw Size, 0.675"" OD, 11/64"" ID, 9/16"" Length, Made in US (Pack of 100)",50,0,0,0,0,1,0,0,1,26,4
"Can you predict the next possible item the user may expect, given the following chronological interaction history: <a_247><b_254><c_185>, <a_247><b_254><c_185>, <a_50><b_28><c_82>, <a_230><b_233><c_125>",<a_126><b_155><c_151>,"Nicholson 06706N Axe File, 8-Inch",<a_230><b_233><c_125>,Country Brook Design | 1 Inch Black Polypropylene Webbing (100 Yards),50,0,0,0,0,1,0,0,1,16,1
"Can you predict the next possible item the user may expect, given the following chronological interaction history: <a_154><b_174><c_70>, <a_154><b_174><c_70>, <a_48><b_246><c_16>, <a_139><b_245><c_239>, <a_183><b_10><c_115>, <a_255><b_98><c_125>, <a_91><b_0><c_7>",<a_209><b_134><c_28>,"Seek Thermal Reveal Thermal Imaging Camera and LED Light, Blue",<a_91><b_0><c_1>,"Covidien 6818 Webcol Alcohol Prep, Sterile, Medium, 2-Ply (Pack of 200)",50,0,0,0,0,1,0,0,1,28,1
"Can you predict the next possible item the user may expect, given the following chronological interaction history: <a_154><b_43><c_143>, <a_211><b_35><c_13>, <a_211><b_35><c_18>, <a_112><b_39><c_2>, <a_204><b_62><c_111>",<a_223><b_82><c_36>,"CS Hyde High Temperature Fiberglass Tape With Silicone Adhesive, Ivory 1/2 inch x 36 yards",<a_211><b_35><c_200>,"eSUN 3D 1.75mm PETG White Filament 1kg (2.2lb), PETG 3D Printer Filament, 1.75mm Solid Opaque White",50,0,0,0,0,1,0,0,1,22,1
"Can you predict the next possible item the user may expect, given the following chronological interaction history: <a_29><b_94><c_24>, <a_173><b_187><c_74>, <a_177><b_238><c_237>, <a_114><b_112><c_29>",<a_177><b_238><c_163>,"X-Treme Tape TPE-X36ZLB Silicone Rubber Self Fusing Tape, 1"" x 36', Triangular, Black",<a_177><b_238><c_237>,"X-Treme Tape TPE-XZLCLR Silicone Rubber Self Fusing Tape, 1"" x 10', Triangular, Clear",50,0,1,1,1,1,2,3,1,34,10
"Can you predict the next possible item the user may expect, given the following chronological interaction history: <a_63><b_21><c_1>, <a_75><b_15><c_194>, <a_188><b_116><c_54>, <a_74><b_16><c_233>, <a_26><b_187><c_74>",<a_63><b_21><c_254>,Loctite Ultra Gel Control Super Glue 4-Gram (1363589),<a_26><b_187><c_74>,TapeCase 3430 0.75in X 5yd White Reflective Tape (1 Roll),50,0,1,1,1,1,0,3,1,18,4
"Can you predict the next possible item the user may expect, given the following chronological interaction history: <a_2><b_68><c_26>, <a_95><b_6><c_250>, <a_37><b_72><c_68>",<a_111><b_5><c_215>,HHIP 4401-0811 Mini Universal Magnetic Base with Fine,<a_154><b_37><c_0>,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",50,0,0,0,0,1,0,0,1,21,1
"Can you predict the next possible item the user may expect, given the following chronological interaction history: <a_188><b_20><c_33>, <a_170><b_84><c_23>, <a_238><b_118><c_120>, <a_62><b_74><c_7>, <a_62><b_74><c_4>, <a_132><b_139><c_184>, <a_87><b_177><c_194>, <a_87><b_182><c_60>",<a_76><b_76><c_122>,"E-Projects 25EP514150R 150 Ohm Resistors, 1/4 W, 5% (Pack of 25)",<a_87><b_182><c_60>,"Steel Machine Screw, Zinc Plated Finish, Flat Head, Phillips Drive, 2"" Length, #8-32 Threads (Pack of 100)",50,0,0,0,0,1,0,0,1,36,9
"Can you predict the next possible item the user may expect, given the following chronological interaction history: <a_135><b_7><c_254>, <a_209><b_166><c_4>, <a_242><b_231><c_123>",<a_254><b_133><c_113>,General Tools 1261-4 1/2-Inch Grommet Refill with 24 Grommets,<a_154><b_37><c_0>,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",50,0,0,0,0,1,0,0,1,32,1
"Can you predict the next possible item the user may expect, given the following chronological interaction history: <a_135><b_7><c_254>, <a_209><b_166><c_4>, <a_242><b_231><c_123>, <a_254><b_133><c_113>",<a_254><b_119><c_212>,"100pc 1/4"" Grommets Eyelets for Clothes, Leather, Canvas - Self-Backing",<a_154><b_37><c_0>,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",50,0,0,0,0,1,0,3,1,32,1
"Can you predict the next possible item the user may expect, given the following chronological interaction history: <a_41><b_96><c_170>, <a_14><b_142><c_144>, <a_109><b_89><c_240>, <a_63><b_11><c_215>, <a_50><b_239><c_168>, <a_99><b_237><c_125>, <a_1><b_77><c_91>, <a_196><b_41><c_212>, <a_83><b_250><c_5>, <a_44><b_237><c_210>",<a_101><b_228><c_95>,"Camco 4ft TastePURE Drinking Water Hose - Lead and BPA Free, Reinforced for Maximum Kink Resistance,  1/2""Inner Diameter (22763)",<a_44><b_237><c_210>,Muslin Bags 10 Count,50,0,0,0,0,1,0,0,1,16,2
"Can you predict the next possible item the user may expect, given the following chronological interaction history: <a_14><b_142><c_144>, <a_109><b_89><c_240>, <a_63><b_11><c_215>, <a_50><b_239><c_168>, <a_99><b_237><c_125>, <a_1><b_77><c_91>, <a_196><b_41><c_212>, <a_83><b_250><c_5>, <a_44><b_237><c_210>, <a_101><b_228><c_95>",<a_251><b_35><c_218>,"PYREX 2L Narrow Mouth Erlenmeyer Flasks with Heavy Duty Rim, 1/pk",<a_44><b_237><c_210>,Muslin Bags 10 Count,50,0,0,0,0,1,0,0,1,19,4
"Can you predict the next possible item the user may expect, given the following chronological interaction history: <a_13><b_253><c_160>, <a_72><b_160><c_93>, <a_171><b_165><c_238>",<a_135><b_25><c_215>,J-B Weld 8276 KwikWeld Quick Setting Steel Reinforced Epoxy - 2 oz.,<a_171><b_165><c_110>,FiberFix 10x Tape- 10x Stonger Than Duct Tape- Weight Bearing Untearable Water Resistant Repair Tape,50,0,0,0,0,1,0,0,1,26,4
"Can you predict the next possible item the user may expect, given the following chronological interaction history: <a_13><b_253><c_160>, <a_72><b_160><c_93>, <a_171><b_165><c_238>, <a_135><b_25><c_215>",<a_135><b_7><c_254>,J-B Weld 50112 ClearWeld Quick-Setting Epoxy Syringe - Dries Clear - 25 ml,<a_135><b_7><c_26>,J-B Weld 50172 MarineWeld Marine Adhesive Epoxy Syringe - Dries White - 25ml,50,0,1,1,1,1,2,3,1,26,2
"Can you predict the next possible item the user may expect, given the following chronological interaction history: <a_177><b_48><c_242>, <a_230><b_212><c_186>",<a_47><b_118><c_3>,"RMP .125 3003 H14 Aluminum Sheet 12"" x 12",<a_230><b_212><c_186>,"ABS Sheet - .118"" Thick, Black, 12"" x 24"" Nominal",50,0,0,0,0,1,0,0,1,17,3
"Can you predict the next possible item the user may expect, given the following chronological interaction history: <a_198><b_115><c_80>, <a_198><b_115><c_80>, <a_171><b_49><c_58>, <a_47><b_233><c_195>",<a_154><b_37><c_0>,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",<a_47><b_233><c_195>,"Monoprice Hook & Loop Fastening Tape 5 yard/roll, 0.75-inch - Blue (105830)",50,0,1,1,1,1,0,3,2,12,2
"Can you predict the next possible item the user may expect, given the following chronological interaction history: <a_198><b_115><c_80>, <a_198><b_115><c_80>, <a_171><b_49><c_58>, <a_47><b_233><c_195>, <a_154><b_37><c_0>",<a_154><b_37><c_0>,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",<a_154><b_37><c_0>,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",50,1,1,1,1,1,3,3,2,12,2
