input,target_sid,target_title,pred1_sid,pred1_title,beam_size,exact_top1_hit,top3_hit,top5_hit,top10_hit,pred1_in_catalog,pred1_lcp,best_lcp_in_beam,target_collision_group_size,target_l1_fanout,target_l2_fanout
"Can you predict the next possible item the user may expect, given the following chronological interaction history: <a_223><b_80><c_165>, <a_223><b_80><c_159>, <a_223><b_80><c_0>, <a_223><b_80><c_158>, <a_223><b_198><c_173>, <a_223><b_198><c_100>, <a_223><b_80><c_91>, <a_223><b_80><c_25>, <a_223><b_86><c_176>, <a_223><b_72><c_93>",<a_223><b_80><c_216>,3D Solutech Real Orange 1.75mm ABS 3D Printer Filament 2.2 LBS (1.0KG),<a_223><b_86><c_176>,"SainSmart Clear Flexible TPU 3D Printing Filament, 1.75 mm, 0.8 kg, Dimensional Accuracy +/- 0.05 mm",50,0,0,0,0,1,1,2,1,247,24
"Can you predict the next possible item the user may expect, given the following chronological interaction history: <a_202><b_147><c_0>",<a_202><b_118><c_74>,"T-Rex 241309 Shurtech Ferociously Strong Tape, 12 Yd L X 1.88 in W, 1-Roll, 12 Yards, Gunmetal Gray",<a_107><b_93><c_0>,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",50,0,0,0,0,1,0,1,1,117,1
"Can you predict the next possible item the user may expect, given the following chronological interaction history: <a_202><b_147><c_0>, <a_202><b_118><c_74>",<a_99><b_53><c_168>,"Gorilla Heavy Duty Construction Adhesive, 2.5 ounce Squeeze Tube, White",<a_107><b_93><c_0>,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",50,0,0,0,0,1,0,0,1,32,1
"Can you predict the next possible item the user may expect, given the following chronological interaction history: <a_202><b_147><c_0>, <a_202><b_118><c_74>, <a_99><b_53><c_168>",<a_108><b_81><c_52>,Genova Products 31410CP 1-Inch PVC Pipe Tee - 10 Pack,<a_99><b_53><c_168>,"Gorilla Heavy Duty Construction Adhesive, 2.5 ounce Squeeze Tube, White",50,0,0,0,0,1,0,0,1,143,1
"Can you predict the next possible item the user may expect, given the following chronological interaction history: <a_193><b_222><c_163>, <a_44><b_28><c_209>, <a_202><b_242><c_85>, <a_87><b_105><c_198>, <a_224><b_81><c_180>, <a_42><b_33><c_21>, <a_244><b_59><c_105>, <a_193><b_229><c_181>, <a_224><b_33><c_101>, <a_42><b_251><c_149>",<a_224><b_76><c_250>,Stanley R120 Rivet Pack Assortment,<a_224><b_81><c_180>,"The Hillman Group 591521 Small Flat and Lock Washer Assortment, 270-Pack",50,0,0,0,0,1,1,1,1,191,1
"Can you predict the next possible item the user may expect, given the following chronological interaction history: <a_193><b_5><c_106>, <a_193><b_5><c_106>, <a_244><b_185><c_140>, <a_202><b_25><c_167>, <a_87><b_44><c_137>, <a_224><b_163><c_173>, <a_87><b_0><c_203>, <a_87><b_44><c_247>, <a_87><b_238><c_111>, <a_251><b_188><c_84>",<a_180><b_106><c_10>,"Osborn International 75116SP Steel File Card, 3-3/4"" Brush Area Length",<a_87><b_238><c_111>,POWERTEC 17000 Workbench Caster Kit (Pack of 4),50,0,0,0,0,1,0,0,1,81,1
"Can you predict the next possible item the user may expect, given the following chronological interaction history: <a_108><b_92><c_217>, <a_236><b_116><c_106>, <a_224><b_163><c_54>, <a_17><b_174><c_1>, <a_197><b_57><c_227>, <a_224><b_163><c_184>, <a_193><b_43><c_179>",<a_104><b_60><c_152>,"iGaging ABSOLUTE ORIGIN 0-6"" Digital Electronic Caliper - IP54 Protection/Extreme Accuracy",<a_224><b_172><c_198>,"Kreg SML-C2 2-Inch Washer Head #8 Coarse Pocket Screws, 50 Count",50,0,0,0,0,1,0,0,1,60,1
"Can you predict the next possible item the user may expect, given the following chronological interaction history: <a_202><b_10><c_78>, <a_79><b_24><c_40>, <a_99><b_119><c_196>, <a_224><b_17><c_207>, <a_17><b_96><c_71>, <a_36><b_43><c_199>, <a_71><b_44><c_249>, <a_71><b_114><c_136>, <a_67><b_244><c_35>",<a_165><b_59><c_69>,J-B Weld 8265S Original Cold-Weld Steel Reinforced Epoxy - 2 oz.,<a_71><b_114><c_136>,"Round Spacer, Nylon, Off-White, 0.194"" ID, 3/4"" Length, Made in US (Pack of 100)",50,0,0,0,0,1,0,0,1,72,4
"Can you predict the next possible item the user may expect, given the following chronological interaction history: <a_15><b_135><c_68>, <a_15><b_135><c_68>, <a_150><b_137><c_127>, <a_68><b_71><c_239>",<a_193><b_240><c_215>,"Nicholson 06706N Axe File, 8-Inch",<a_107><b_93><c_0>,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",50,0,0,0,0,1,0,0,1,133,3
"Can you predict the next possible item the user may expect, given the following chronological interaction history: <a_36><b_157><c_248>, <a_36><b_157><c_248>, <a_193><b_7><c_242>, <a_14><b_75><c_236>, <a_14><b_246><c_237>, <a_17><b_145><c_1>, <a_44><b_98><c_1>",<a_107><b_104><c_143>,"Seek Thermal Reveal Thermal Imaging Camera and LED Light, Blue",<a_206><b_99><c_1>,AmScope 25pc Assorted Specimen Collection of Prepared Microscope Slides Glass Slide with Storage Case,50,0,0,0,0,1,0,0,1,66,1
"Can you predict the next possible item the user may expect, given the following chronological interaction history: <a_36><b_196><c_55>, <a_223><b_126><c_0>, <a_223><b_126><c_99>, <a_223><b_198><c_167>, <a_223><b_59><c_216>",<a_233><b_86><c_124>,"CS Hyde High Temperature Fiberglass Tape With Silicone Adhesive, Ivory 1/2 inch x 36 yards",<a_223><b_198><c_6>,"HATCHBOX ABS 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Black",50,0,0,0,0,1,0,0,1,20,1
"Can you predict the next possible item the user may expect, given the following chronological interaction history: <a_159><b_27><c_133>, <a_17><b_14><c_32>, <a_202><b_198><c_218>, <a_173><b_93><c_124>",<a_202><b_198><c_80>,"X-Treme Tape TPE-X36ZLB Silicone Rubber Self Fusing Tape, 1"" x 36', Triangular, Black",<a_202><b_198><c_218>,"X-Treme Tape TPE-XZLCLR Silicone Rubber Self Fusing Tape, 1"" x 10', Triangular, Clear",50,0,0,1,1,1,2,3,1,117,10
"Can you predict the next possible item the user may expect, given the following chronological interaction history: <a_165><b_15><c_16>, <a_87><b_242><c_12>, <a_24><b_165><c_166>, <a_107><b_55><c_77>, <a_68><b_121><c_117>",<a_165><b_214><c_30>,Loctite Ultra Gel Control Super Glue 4-Gram (1363589),<a_107><b_93><c_0>,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",50,0,0,0,0,1,0,0,1,72,2
"Can you predict the next possible item the user may expect, given the following chronological interaction history: <a_24><b_91><c_229>, <a_24><b_170><c_144>, <a_71><b_225><c_89>",<a_104><b_85><c_106>,HHIP 4401-0811 Mini Universal Magnetic Base with Fine,<a_107><b_93><c_0>,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",50,0,0,0,0,1,0,0,1,60,1
"Can you predict the next possible item the user may expect, given the following chronological interaction history: <a_24><b_20><c_0>, <a_23><b_223><c_190>, <a_73><b_87><c_68>, <a_224><b_77><c_115>, <a_224><b_77><c_180>, <a_224><b_146><c_222>, <a_224><b_146><c_94>, <a_224><b_146><c_29>",<a_73><b_10><c_6>,"E-Projects 25EP514150R 150 Ohm Resistors, 1/4 W, 5% (Pack of 25)",<a_224><b_146><c_29>,"Steel Machine Screw, Zinc Plated Finish, Flat Head, Phillips Drive, 2"" Length, #8-32 Threads (Pack of 100)",50,0,0,0,0,1,0,0,1,114,4
"Can you predict the next possible item the user may expect, given the following chronological interaction history: <a_165><b_159><c_154>, <a_107><b_133><c_57>, <a_202><b_100><c_73>",<a_71><b_70><c_24>,General Tools 1261-4 1/2-Inch Grommet Refill with 24 Grommets,<a_107><b_93><c_0>,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",50,0,0,0,0,1,0,0,1,118,4
"Can you predict the next possible item the user may expect, given the following chronological interaction history: <a_165><b_159><c_154>, <a_107><b_133><c_57>, <a_202><b_100><c_73>, <a_71><b_70><c_24>",<a_71><b_127><c_119>,"100pc 1/4"" Grommets Eyelets for Clothes, Leather, Canvas - Self-Backing",<a_107><b_93><c_0>,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",50,0,0,0,0,1,0,3,1,118,2
"Can you predict the next possible item the user may expect, given the following chronological interaction history: <a_108><b_196><c_55>, <a_150><b_9><c_27>, <a_36><b_174><c_193>, <a_165><b_35><c_0>, <a_150><b_132><c_11>, <a_14><b_137><c_79>, <a_236><b_3><c_174>, <a_236><b_230><c_205>, <a_228><b_187><c_137>, <a_210><b_171><c_62>",<a_228><b_113><c_68>,"Camco 4ft TastePURE Drinking Water Hose - Lead and BPA Free, Reinforced for Maximum Kink Resistance,  1/2""Inner Diameter (22763)",<a_236><b_230><c_205>,Uxcell Toggle Switch (10 Piece),50,0,0,0,0,1,0,1,1,96,1
"Can you predict the next possible item the user may expect, given the following chronological interaction history: <a_150><b_9><c_27>, <a_36><b_174><c_193>, <a_165><b_35><c_0>, <a_150><b_132><c_11>, <a_14><b_137><c_79>, <a_236><b_3><c_174>, <a_236><b_230><c_205>, <a_228><b_187><c_137>, <a_210><b_171><c_62>, <a_228><b_113><c_68>",<a_94><b_195><c_69>,"PYREX 2L Narrow Mouth Erlenmeyer Flasks with Heavy Duty Rim, 1/pk",<a_228><b_113><c_68>,"Camco 4ft TastePURE Drinking Water Hose - Lead and BPA Free, Reinforced for Maximum Kink Resistance,  1/2""Inner Diameter (22763)",50,0,0,0,0,1,0,0,1,111,7
