bucket,item_i,item_j,family_i,family_j,same_family,brand_i,brand_j,title_i,title_j,coarse_raw,local_raw,direct_support,coarse_pur,local_pur,mid_base,local_multihop
<a_123>,419,2825,gauge_meter,other,False,BOSTITCH,Milton Industries,Bostitch BTFP72326 Regulator and Gauge Kit with 1/4-Inch NPT Thread,"Milton S-761 1/4"" FNPT V Style High Flow Plug - Pack of 2",2.0,1.0,3.0,0.0,0.13747663795948029,0.0,0.10183453559875488
<a_123>,419,2609,gauge_meter,other,False,BOSTITCH,Control Devices,Bostitch BTFP72326 Regulator and Gauge Kit with 1/4-Inch NPT Thread,"Control Devices CR Series Brass Pressure Relief Valve, 0-100 psi Adjustable Pressure Range, 1/4"" Male NPT",0.0,0.0,0.0,0.0,0.0,0.0,0.018148571252822876
<a_123>,1691,3297,other,gauge_meter,False,Trumeters,LDR Industries,Water Pressure Regulator. Brass Lead-free Adjustable Water Pressure Reducer for Rv with Guage. Includes Inlet Screened Filter. Model A01-1117tm,"LDR 020 9645 Pressure Gauge, 3/4-Inch IPS, 200 lb. Pressure",0.0,0.0,0.0,0.0,0.0,0.0,0.01519680954515934
<a_123>,416,1584,connector_fitting,gauge_meter,False,Pro-1,Primefit,PRO 1 Fuel Line Hose 1/4 Inch Inside Diameter X 25 Feet Length NRB/PVCC SAE30R6,"Primefit R1401G Mini Air Regulator with steel-Protected Gauge, 60-Scfm At 100-Psi, 1/4"" Npt",0.0,0.0,0.0,0.0,0.0,4.075658944202587e-05,0.0027549280785024166
<a_123>,416,419,connector_fitting,gauge_meter,False,Pro-1,BOSTITCH,PRO 1 Fuel Line Hose 1/4 Inch Inside Diameter X 25 Feet Length NRB/PVCC SAE30R6,Bostitch BTFP72326 Regulator and Gauge Kit with 1/4-Inch NPT Thread,0.6666666865348816,0.20000000298023224,0.8666666746139526,0.0,0.0,0.0003305050195194781,0.0
<a_123>,419,798,gauge_meter,connector_fitting,False,BOSTITCH,Pro-1,Bostitch BTFP72326 Regulator and Gauge Kit with 1/4-Inch NPT Thread,PRO 1 Fuel Line Hose 5/16 Inch Inside Diameter X 25 Feet Length NRB/PVCC SAE30R6,0.5,0.1111111119389534,0.6111111044883728,0.0,0.0,0.0010054451413452625,0.0
<a_123>,2609,3271,other,gauge_meter,False,Control Devices,DuraChoice,"Control Devices CR Series Brass Pressure Relief Valve, 0-100 psi Adjustable Pressure Range, 1/4"" Male NPT","2"" Oil Filled Vacuum Pressure Gauge - SS/Br 1/4"" NPT Lower Mount, 30HG/0PSI",0.0,0.0,0.0,0.0,0.0,0.003053027670830488,0.0
<a_123>,2825,3271,other,gauge_meter,False,Milton Industries,DuraChoice,"Milton S-761 1/4"" FNPT V Style High Flow Plug - Pack of 2","2"" Oil Filled Vacuum Pressure Gauge - SS/Br 1/4"" NPT Lower Mount, 30HG/0PSI",0.0,0.0,0.0,0.0,0.0,0.0025385399349033833,0.0
<a_123>,772,1901,other,gauge_meter,False,Watts,PneumaticPlus,"Watts 0009257 25AUB-Z3, 3/4"", bronz","PneumaticPlus PPR2-N02BG-2 Miniature Air Pressure Regulator 1/4"" NPT - Gauge, Bracket, Instrument Pressure (3-30 PSI)",0.0,0.0,0.0,0.0,0.0,0.002202370436862111,0.0
<a_123>,1691,3271,other,gauge_meter,False,Trumeters,DuraChoice,Water Pressure Regulator. Brass Lead-free Adjustable Water Pressure Reducer for Rv with Guage. Includes Inlet Screened Filter. Model A01-1117tm,"2"" Oil Filled Vacuum Pressure Gauge - SS/Br 1/4"" NPT Lower Mount, 30HG/0PSI",0.0,0.0,0.0,0.0,0.0,0.0019647262524813414,0.0
<a_123>,1786,3383,connector_fitting,gauge_meter,False,Coilhose Pneumatics,PneumaticPlus,"Coilhose Pneumatics 150 1/4-Inch Body Size, Coilflow Industrial Interchange Coupler, 1/4-Inch NPT, Female","PneumaticPlus SAR4000T-N04BG Air Pressure Regulator T-Handle 1/2"" NPT with Gauge & Bracket",0.0,0.0,0.0,0.0,0.0,0.001825828803703189,0.0
<a_123>,1786,1901,connector_fitting,gauge_meter,False,Coilhose Pneumatics,PneumaticPlus,"Coilhose Pneumatics 150 1/4-Inch Body Size, Coilflow Industrial Interchange Coupler, 1/4-Inch NPT, Female","PneumaticPlus PPR2-N02BG-2 Miniature Air Pressure Regulator 1/4"" NPT - Gauge, Bracket, Instrument Pressure (3-30 PSI)",0.0,0.0,0.0,0.0,0.0,0.001809520530514419,0.0
<a_123>,772,3297,other,gauge_meter,False,Watts,LDR Industries,"Watts 0009257 25AUB-Z3, 3/4"", bronz","LDR 020 9645 Pressure Gauge, 3/4-Inch IPS, 200 lb. Pressure",0.0,0.0,0.0,0.0,0.0,0.00172901910264045,0.0
<a_123>,661,1786,gauge_meter,connector_fitting,False,PneumaticPlus,Coilhose Pneumatics,"PneumaticPlus PSL15-160 Pressure Gauge, Lower Mount, 1-1/2"" Dial, 0-160 PSI, 1/8"" NPT","Coilhose Pneumatics 150 1/4-Inch Body Size, Coilflow Industrial Interchange Coupler, 1/4-Inch NPT, Female",0.0,0.0,0.0,0.0,0.0,0.0016635269857943058,0.0
<a_123>,416,2825,connector_fitting,other,False,Pro-1,Milton Industries,PRO 1 Fuel Line Hose 1/4 Inch Inside Diameter X 25 Feet Length NRB/PVCC SAE30R6,"Milton S-761 1/4"" FNPT V Style High Flow Plug - Pack of 2",0.0,0.0,0.0,0.0,0.0,0.0016309282509610057,0.0
<a_123>,1121,2609,gauge_meter,other,False,PneumaticPlus,Control Devices,"PneumaticPlus SAW3000M-N03BG Air Filter Regulator Combo Piggyback, 3/8"" Pipe Size, NPT-Manual Drain, Poly Bowl with Gauge","Control Devices CR Series Brass Pressure Relief Valve, 0-100 psi Adjustable Pressure Range, 1/4"" Male NPT",0.0,0.0,0.0,0.0,0.0,0.0015690410509705544,0.0
<a_123>,772,3383,other,gauge_meter,False,Watts,PneumaticPlus,"Watts 0009257 25AUB-Z3, 3/4"", bronz","PneumaticPlus SAR4000T-N04BG Air Pressure Regulator T-Handle 1/2"" NPT with Gauge & Bracket",0.0,0.0,0.0,0.0,0.0,0.001525860745459795,0.0
<a_123>,416,2609,connector_fitting,other,False,Pro-1,Control Devices,PRO 1 Fuel Line Hose 1/4 Inch Inside Diameter X 25 Feet Length NRB/PVCC SAE30R6,"Control Devices CR Series Brass Pressure Relief Valve, 0-100 psi Adjustable Pressure Range, 1/4"" Male NPT",0.0,0.0,0.0,0.0,0.0,0.0013321611331775784,0.0
<a_123>,798,3196,connector_fitting,fastener,False,Pro-1,Medline,PRO 1 Fuel Line Hose 5/16 Inch Inside Diameter X 25 Feet Length NRB/PVCC SAE30R6,"Medline HCS8715M Mini Oxygen Regulator, Latex Free, 0-15 Liters per Minute, 870 CGA Connection, Brass Sleeve",0.0,0.0,0.0,0.0,0.0,0.0013142549432814121,0.0
<a_123>,661,798,gauge_meter,connector_fitting,False,PneumaticPlus,Pro-1,"PneumaticPlus PSL15-160 Pressure Gauge, Lower Mount, 1-1/2"" Dial, 0-160 PSI, 1/8"" NPT",PRO 1 Fuel Line Hose 5/16 Inch Inside Diameter X 25 Feet Length NRB/PVCC SAE30R6,0.0,0.0,0.0,0.0,0.0,0.0012145399814471602,0.0
<a_131>,607,819,other,3d_filament,False,Docooler,Inkbird,Docooler&reg; Digital Temperature Controller Thermocouple with Sensor (-58~194&deg;F) 10A 110V,"Inkbird ITC-1000 Dual Stage Digital Temperature Controller Fahrenheit  Celsius Thermostat with Sensor for 3D Printer,Freezer,Fridge,Hatching ect (12 Volt)",10.0,2.5,12.5,0.06946798413991928,0.0870947390794754,0.0005593584501184523,0.06851442903280258
<a_131>,607,1703,other,3d_filament,False,Docooler,Inkbird,Docooler&reg; Digital Temperature Controller Thermocouple with Sensor (-58~194&deg;F) 10A 110V,"Inkbird ITC-1000 Dual Stage Digital Temperature Controller Fahrenheit  Celsius Thermostat with Sensor for 3D Printer,Freezer,Fridge,Hatching ect (110 Volt)",4.0,1.0,5.0,0.07835850119590759,0.06593233346939087,0.001261172816157341,0.05163152515888214
<a_131>,819,2383,3d_filament,other,False,Inkbird,Inkbird,"Inkbird ITC-1000 Dual Stage Digital Temperature Controller Fahrenheit  Celsius Thermostat with Sensor for 3D Printer,Freezer,Fridge,Hatching ect (12 Volt)",Inkbird All-Purpose Digital Temperature Controller Fahrenheit &Centigrade Thermostat w Sensor 2 Relays ITC-1000,33.166664123535156,3.2261905670166016,36.392852783203125,0.06822231411933899,0.03640969097614288,0.0006681482773274183,0.029627997428178787
